Date,Open,High,Low,Close,Adj Close,Volume
2001-04-01,12.369755,14.928023,11.028340,14.487273,11.662889,122942991
2001-05-01,14.487273,16.652699,13.797403,15.761616,12.688789,92630813
2001-06-01,15.905339,16.001156,11.229553,11.957749,9.626511,38454084
2001-07-01,12.168543,15.129235,11.459509,13.548283,10.906959,36041339
2001-08-01,13.596191,16.001156,12.935065,14.468110,11.647462,35495552
2001-09-01,14.544762,15.090909,12.053564,13.232092,10.652411,20245801
2001-10-01,13.692006,16.863491,12.858413,16.250275,13.082182,47234662
2001-11-01,16.365253,20.312843,15.292121,20.006233,16.105892,149644149
2001-12-01,20.015816,21.912958,17.821646,19.134315,15.403962,50224640
2002-01-01,19.737951,25.850967,18.789379,23.963406,19.291588,168936787
2002-02-01,24.049641,29.415297,23.321444,27.096565,21.813917,217979402
2002-03-01,27.019915,28.342165,22.430361,24.145454,19.438145,111323053
2002-04-01,23.762194,26.253391,23.474749,24.739510,19.916389,111252497
2002-05-01,24.739510,28.313421,22.468687,23.206465,18.682217,129957730
2002-06-01,23.896336,30.565081,23.388514,29.779394,23.973713,332409950
2002-07-01,30.066841,31.657375,23.283117,24.356249,19.607847,252178938
2002-08-01,24.796999,27.000751,23.235210,26.732468,21.520807,204680888
2002-09-01,27.748110,28.907475,24.068804,25.371891,20.425480,129402314
2002-10-01,24.940722,27.939741,24.682020,27.738529,22.330729,137820614
2002-11-01,27.978067,32.692181,27.221127,32.423897,26.102655,225180003
2002-12-01,32.711342,33.228745,29.951862,30.929178,24.899340,243373103
2003-01-01,30.660894,33.152092,28.552959,29.434460,23.696026,232716889
2003-02-01,29.875210,32.078960,29.319481,31.264532,25.169313,126966942
2003-03-01,31.350765,32.333195,28.284676,29.827303,24.012285,139002200
2003-04-01,29.875210,34.493507,28.457144,28.888311,23.256355,110669007
2003-05-01,28.888311,33.774895,28.572123,32.902973,26.488331,222302118
2003-06-01,33.132931,39.265110,32.490967,37.952438,30.553373,298185864
2003-07-01,38.316540,44.966122,37.578758,43.289352,35.549793,481165770
2003-08-01,43.883408,54.758442,42.867764,53.857780,44.228729,428653944
2003-09-01,54.614719,59.357578,49.670650,58.916828,48.383289,447786038
2003-10-01,58.830593,81.423843,57.872440,71.765656,58.934902,913126476
2003-11-01,72.340553,79.411720,69.044502,78.290680,64.293350,726876331
2003-12-01,78.808083,88.015938,78.223610,86.626610,71.138908,423161553
2004-01-01,86.856567,103.576340,78.185287,99.724564,81.895134,601855826
2004-02-01,99.724564,109.286926,84.681564,97.511230,80.077507,634314204
2004-03-01,99.073021,104.036255,81.471748,93.103729,77.026054,562353488
2004-04-01,92.471344,101.214371,89.108231,90.526299,74.893707,384854322
2004-05-01,90.602943,94.090622,57.489178,70.270943,58.136162,604587767
2004-06-01,71.478210,79.689583,69.571487,72.877113,60.292286,649954612
2004-07-01,73.528664,81.912498,60.938530,81.078903,67.771515,692678143
2004-08-01,81.538818,84.106667,71.047043,74.850914,62.565708,648292356
2004-09-01,75.215012,80.417778,72.925026,77.275040,64.591972,494662239
2004-10-01,77.227135,84.394783,74.946724,79.862053,66.754379,321639285
2004-11-01,80.101593,94.857147,78.070305,92.672554,77.462311,252886577
2004-12-01,93.151634,99.226326,90.468803,96.821358,80.930168,290776656
2005-01-01,97.712440,100.788116,87.191925,96.658478,80.794006,240757561
2005-02-01,96.773453,98.268173,79.411720,91.206581,76.236931,232928293
2005-03-01,91.311981,94.454720,77.227135,79.277580,66.265831,252485291
2005-04-01,79.718330,85.850510,76.671402,79.239250,66.233788,233776788
2005-05-01,79.718330,87.076942,78.760178,82.985634,69.365288,189307015
2005-06-01,83.934204,86.967186,79.114693,81.529236,68.147926,158715481
2005-07-01,82.017899,94.186440,80.983093,92.155151,79.361237,149615874
2005-08-01,92.691719,101.832497,86.492470,88.427940,76.151466,237171877
